# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.076,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.009,0.037,0.177,0.000,0.038,0.000,0.000,0.000,0.035,0.000,0.004,0.000,0.000,0.000,0.024,0.013,0.000,0.000,22.107,22.000,22.310,23.100,30.300,28.100,29.284,32.900,329.000,0.010
0.500,0.130,0.000,0.009,0.091,0.000,0.011,0.000,0.000,0.032,0.072,0.000,0.629,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.035,0.000,0.000,0.000,0.056,0.034,0.000,22.107,22.000,22.310,23.100,30.300,28.100,29.284,32.900,329.000,0.010
1.000,0.074,0.000,0.069,0.036,0.000,0.000,0.000,0.000,0.089,0.092,0.000,0.607,0.025,0.013,0.000,0.000,0.000,0.016,0.037,0.000,0.074,0.000,0.000,0.009,0.056,0.000,0.000,22.107,22.000,22.309,23.100,30.300,28.100,29.284,32.900,217.495,0.007
1.500,0.000,0.000,0.150,0.000,0.000,0.000,0.022,0.000,0.000,0.000,0.037,0.079,0.009,0.038,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,22.108,22.000,22.308,23.100,30.300,28.099,29.284,32.900,43.457,0.001
2.000,0.000,0.000,0.009,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.009,0.003,22.108,22.000,22.308,23.100,30.300,28.098,29.284,32.900,218.848,0.007
2.500,0.000,0.032,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.092,0.000,0.000,0.011,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.075,0.000,22.108,22.000,22.308,23.100,30.300,28.098,29.285,32.900,329.000,0.010
3.000,0.043,0.209,0.171,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.000,22.108,22.000,22.308,23.100,30.300,28.097,29.285,32.900,329.000,0.010
3.500,0.000,0.000,0.019,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000,22.108,22.000,22.308,23.100,30.300,28.095,29.285,32.900,329.000,0.010
4.000,0.000,0.000,0.000,0.130,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.041,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.064,0.000,0.076,0.007,0.000,22.108,22.000,22.308,23.100,30.300,28.092,29.285,32.900,329.000,0.010
4.500,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.168,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.112,0.000,22.108,22.000,22.308,23.100,30.300,28.090,29.285,32.900,329.000,0.010
5.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.055,0.000,0.105,0.000,22.108,22.000,22.308,23.100,30.300,28.087,29.285,32.900,329.000,0.010
5.501,0.017,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.042,0.000,0.000,0.000,0.016,0.000,0.000,0.073,0.007,0.000,0.113,0.000,0.044,0.000,22.108,22.000,22.310,23.100,30.300,28.085,29.285,32.900,213.678,0.006
6.001,0.000,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.008,0.102,0.168,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.071,0.000,22.108,22.000,22.310,23.100,30.300,28.082,29.285,32.900,0.000,0.000
6.501,0.023,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.028,0.000,0.172,0.074,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.014,0.000,0.009,0.000,0.000,22.108,22.000,22.310,23.100,30.300,28.080,29.285,32.900,92.194,0.003
7.001,0.000,0.000,0.000,0.043,0.000,0.011,0.000,0.000,0.058,0.000,0.037,0.000,0.000,0.007,0.000,0.000,0.000,0.016,0.000,0.000,0.101,0.000,0.000,0.000,0.032,0.040,0.000,22.108,22.000,22.312,23.100,30.300,28.077,29.285,32.897,329.000,0.010
7.501,0.000,0.000,0.032,0.000,0.000,0.011,0.018,0.000,0.000,0.007,0.037,0.043,0.000,0.044,0.000,0.000,0.000,0.000,0.054,0.012,0.000,0.000,0.000,0.005,0.000,0.144,0.000,22.108,22.000,22.312,23.100,30.300,28.075,29.285,32.895,329.000,0.010
8.001,0.000,0.000,0.068,0.000,0.001,0.000,0.042,0.000,0.000,0.009,0.037,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.013,0.000,0.000,0.000,0.050,0.008,0.040,0.000,22.110,22.000,22.312,23.100,30.300,28.073,29.286,32.893,329.000,0.010
8.501,0.023,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.037,0.168,0.011,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.083,0.000,0.015,0.094,0.079,0.039,0.000,22.109,22.000,22.313,23.100,30.300,28.073,29.287,32.890,238.374,0.007
9.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.037,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.103,0.077,0.000,22.108,22.000,22.315,23.100,30.300,28.072,29.287,32.888,25.135,0.001
9.501,0.015,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,0.007,0.037,0.168,0.000,0.006,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.015,0.000,0.033,0.000,0.000,22.108,22.000,22.315,23.100,30.300,28.070,29.288,32.888,205.526,0.006
10.001,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.023,0.037,0.062,0.000,0.011,0.000,0.000,0.000,0.078,0.015,0.000,0.000,0.000,0.000,0.096,0.000,0.000,0.000,22.108,22.000,22.315,23.100,30.300,28.067,29.288,32.888,329.000,0.010
10.501,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.050,0.029,0.075,0.000,22.108,22.000,22.315,23.100,30.300,28.067,29.288,32.885,240.759,0.007
