# t (s),C_000 (ppm),C_001 (ppm),C_002 (ppm),C_010 (ppm),C_011 (ppm),C_012 (ppm),C_020 (ppm),C_021 (ppm),C_022 (ppm),C_100 (ppm),C_101 (ppm),C_102 (ppm),C_110 (ppm),C_111 (ppm),C_112 (ppm),C_120 (ppm),C_121 (ppm),C_122 (ppm),C_200 (ppm),C_201 (ppm),C_202 (ppm),C_210 (ppm),C_211 (ppm),C_212 (ppm),C_220 (ppm),C_221 (ppm),C_222 (ppm),T_1 (deg),T_2 (deg),T_3 (deg),T_4 (deg),H_1 (% r.h.),H_2 (% r.h.),H_3 (% r.h.),H_4 (% r.h.),Wdir (deg),Wspd (m/s)
0.000,0.005,0.006,-0.028,0.008,0.001,-0.013,-0.004,0.024,-0.009,-0.036,-0.018,-0.067,-0.006,-0.148,-0.021,0.042,0.021,-0.026,-0.011,0.018,-0.058,0.012,0.034,-0.073,-0.048,-0.072,0.012,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
0.500,-0.026,0.006,-0.028,0.008,0.001,-0.013,-0.004,0.024,-0.053,-0.019,-0.094,-0.067,-0.006,-0.121,-0.014,0.055,0.021,-0.026,-0.004,0.018,-0.058,0.012,0.034,-0.073,-0.048,-0.072,0.012,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
1.000,-0.026,0.006,-0.028,-0.027,0.001,-0.013,-0.004,0.024,-0.053,-0.036,-0.094,-0.067,-0.006,-0.057,-0.014,0.055,0.021,-0.026,-0.004,0.018,-0.058,0.012,0.035,-0.073,-0.048,0.013,0.015,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
1.500,-0.026,0.006,-0.098,-0.027,-0.011,-0.013,-0.004,0.024,-0.053,-0.036,-0.053,-0.067,-0.006,-0.057,-0.014,0.042,0.021,-0.026,0.005,0.018,-0.058,0.012,0.063,-0.089,-0.048,0.013,0.015,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
2.000,-0.026,0.006,-0.098,-0.027,-0.011,-0.013,-0.004,0.024,-0.053,-0.042,-0.053,-0.067,-0.016,-0.057,-0.014,0.037,0.021,-0.026,0.005,0.018,-0.058,0.012,0.035,-0.089,-0.046,0.013,0.015,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
2.500,-0.003,0.006,-0.098,-0.027,-0.011,-0.013,-0.004,0.024,-0.053,-0.042,-0.053,0.121,-0.006,-0.057,-0.014,0.054,0.021,-0.026,0.005,0.018,-0.017,0.012,0.035,-0.089,-0.027,0.013,0.015,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
3.000,0.045,0.006,-0.042,-0.027,0.001,-0.013,-0.004,0.024,-0.053,-0.042,-0.028,0.271,0.016,-0.059,-0.008,0.054,0.021,-0.003,0.005,0.018,0.069,0.021,0.035,-0.089,-0.008,-0.014,0.015,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
3.500,0.057,0.025,-0.015,-0.027,0.001,-0.013,0.014,0.024,-0.053,-0.030,0.049,0.271,0.006,-0.059,-0.008,0.054,0.021,-0.002,0.005,0.022,0.069,0.030,0.022,-0.107,-0.008,-0.014,0.018,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
4.000,0.057,0.025,-0.015,0.014,0.001,-0.013,0.016,0.024,-0.053,-0.008,0.049,0.271,0.006,-0.115,-0.014,0.060,0.021,-0.003,0.005,0.022,0.069,0.021,0.022,-0.107,-0.008,-0.014,0.018,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.680,85.000,0.010
4.500,0.057,0.025,-0.015,0.015,-0.013,-0.013,0.014,0.021,-0.053,-0.002,0.049,0.271,0.006,-0.061,-0.014,0.060,0.021,-0.026,0.005,0.022,0.049,0.021,-0.019,-0.107,-0.027,0.090,0.018,22.100,21.900,22.600,23.000,31.100,29.400,29.500,30.682,85.000,0.010
